open_time,datetime,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
1769695200000,2026-01-29 14:00:00,88052.87000000,88075.23000000,87008.00000000,87014.40000000,1065.77381000,1769698799999,93374914.34501600,290797,441.55650000,38703684.60052640
1769698800000,2026-01-29 15:00:00,87014.40000000,87039.51000000,84366.56000000,84934.02000000,8241.95640000,1769702399999,704778894.16933920,1042655,2523.48048000,215610937.26204360
1769702400000,2026-01-29 16:00:00,84934.02000000,85392.20000000,84268.17000000,85270.00000000,4076.75879000,1769705999999,345397425.35761270,593102,1401.38362000,118808828.85944980
1769706000000,2026-01-29 17:00:00,85270.01000000,85638.30000000,84012.78000000,84261.66000000,2652.67947000,1769709599999,225382759.85450180,446250,1324.41017000,112608321.88615560
1769709600000,2026-01-29 18:00:00,84261.66000000,84630.55000000,83415.00000000,83477.02000000,2305.76692000,1769713199999,193585102.96183090,544877,976.43448000,82004093.39554630
1769713200000,2026-01-29 19:00:00,83477.02000000,84334.97000000,83383.33000000,84012.11000000,1752.68525000,1769716799999,147018710.51319600,358783,825.12250000,69200767.73705790
1769716800000,2026-01-29 20:00:00,84012.11000000,84398.36000000,83824.90000000,84216.91000000,1089.07114000,1769720399999,91564837.89312660,267279,578.87156000,48674187.95154530
1769720400000,2026-01-29 21:00:00,84216.91000000,84706.32000000,84200.00000000,84526.57000000,780.67473000,1769723999999,65919385.07880750,197629,458.72077000,38740970.01586130
1769724000000,2026-01-29 22:00:00,84526.57000000,84615.74000000,84306.24000000,84570.05000000,335.13893000,1769727599999,28311519.48025500,82910,165.54596000,13984016.04858780
1769727600000,2026-01-29 23:00:00,84570.04000000,84737.69000000,84445.70000000,84650.16000000,631.99089000,1769731199999,53486001.28420170,104129,241.91799000,20470649.02032540
1769731200000,2026-01-30 00:00:00,84650.16000000,84735.75000000,84100.00000000,84192.00000000,730.18491000,1769734799999,61634913.74887230,130537,257.86415000,21771651.16457710
